Operating permit number,Address,Mechanical system type,Current system status,Permit renewal date,Voluntary participant,Date of most recent report,Legionella pneumophila,Marker colour,Escherichia coli,Turbidity,Temperature,Total Suspended Solids,Benzene,Toluene,Ethylbenzene,Xylenes Total,EOCP certification number,Geom,Geo Local Area,Water quality reports link,geo_point_2d
OP-2020-00981,"1850 COMOX STREET, Vancouver, BC V6G 1R3",Decorative Water Feature,Active,7/23/2025,N,8/29/2024,0,blue,,,,,,,,,50342,"{""coordinates"":[-123.1407657,49.2889805],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00981,"49.2889805, -123.1407657"
OP-2020-00990,"928 RICHARDS STREET, Vancouver, BC V6B 6P6",Decorative Water Feature,Inactive,7/30/2025,N,1/28/2025,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1199007,49.278356],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00990,"49.278356, -123.1199007"
OP-2020-00996,"2803 W 41ST AVENUE, Vancouver, BC V6N 4B4",Decorative Water Feature,Active,8/3/2025,N,12/11/2024,0,blue,,,,,,,,,1001128,"{""coordinates"":[-123.1680041,49.2354933],""type"":""Point""}",Arbutus Ridge,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00996,"49.2354933, -123.1680041"
OP-2020-00999,"1490 PENNYFARTHING DRIVE, Vancouver, BC V6J 4Z3",Decorative Water Feature,Inactive,8/3/2025,N,10/25/2024,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.141183,49.2719592],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-00999,"49.2719592, -123.141183"
OP-2020-01000,"1470 PENNYFARTHING DRIVE, Vancouver, BC V6J 4Y2",Decorative Water Feature,Inactive,8/3/2025,N,10/25/2024,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.141183,49.2719592],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01000,"49.2719592, -123.141183"
OP-2020-01006,"2055 YUKON STREET, Vancouver, BC V5Y 4B7",Building Water Treatment System,Active,8/4/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1132362,49.26709],""type"":""Point""}",Mount Pleasant,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01006,"49.26709, -123.1132362"
OP-2020-01005,"1530 W 8TH AVENUE, Vancouver, BC V6J 5M6",Decorative Water Feature,Inactive,8/4/2025,N,1/10/2025,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1398156,49.2642759],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01005,"49.2642759, -123.1398156"
OP-2020-01009,"1705 NELSON STREET, Vancouver, BC V6G 1M6",Building Water Treatment System,Active,8/4/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1371672,49.288714],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01009,"49.288714, -123.1371672"
OP-2020-01027,"666 BURRARD STREET, Vancouver, BC V6C 2X8",Decorative Water Feature,Active,9/30/2025,N,1/31/2025,0,blue,,,,,,,,,50116,"{""coordinates"":[-123.1193112,49.2849695],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01027,"49.2849695, -123.1193112"
OP-2020-01015,"1185 W GEORGIA STREET, Vancouver, BC V6E 4E6",Cooling Tower,Inactive,8/6/2025,N,11/6/2024,,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1246458,49.2871563],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01015,"49.2871563, -123.1246458"
OP-2020-01020,"8 SMITHE MEWS, Vancouver, BC V6B 0A5",Decorative Water Feature,Inactive,8/6/2025,N,11/28/2023,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1124852,49.2740776],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01020,"49.2740776, -123.1124852"
OP-2020-01021,"918 COOPERAGE WAY, Vancouver, BC V6B 0A7",Decorative Water Feature,Inactive,8/6/2025,N,11/28/2023,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1125065,49.2741772],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01021,"49.2741772, -123.1125065"
OP-2020-01026,"1863 ALBERNI STREET, Vancouver, BC V6G 3H8",Decorative Water Feature,Inactive,8/9/2025,N,10/29/2024,,blue,,,,,,,,,1001336,"{""coordinates"":[-123.1347445,49.2927749],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01026,"49.2927749, -123.1347445"
OP-2020-01056,"777 DUNSMUIR STREET, Vancouver, BC",Cooling Tower,Active,11/22/2025,N,2/10/2025,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1165221,49.2842916],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01056,"49.2842916, -123.1165221"
OP-2020-01033,"833 BURRARD STREET, Vancouver, BC",Cooling Tower,Active,8/10/2025,N,2/10/2025,0,blue,,,,,,,,,1001332,"{""coordinates"":[-123.1235875,49.2828529],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01033,"49.2828529, -123.1235875"
OP-2020-01039,"1777 W 7TH AVENUE, Vancouver, BC",Decorative Water Feature,Inactive,1/27/2026,N,7/26/2024,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1450075,49.2658545],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01039,"49.2658545, -123.1450075"
OP-2020-01061,"277 THURLOW STREET, Vancouver, BC V6C 0C1",Decorative Water Feature,Active,1/27/2026,N,1/23/2025,0,blue,,,,,,,,,1001128,"{""coordinates"":[-123.1191368,49.2888829],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01061,"49.2888829, -123.1191368"
